2026-06-26 11:14:42,741 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-26 11:14:48,939 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-26 11:14:48,948 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-06-26 11:14:49,301 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-06-26 11:14:49,302 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-06-26 11:14:50,890 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-06-26 11:14:50,891 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/7f40ceda params=None
2026-06-26 11:14:51,324 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/7f40ceda -> 200
2026-06-26 11:14:51,324 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/7f40ceda
2026-06-26 11:14:51,713 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/7f40ceda -> 200
2026-06-26 11:14:51,714 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/7f40ceda params=None
2026-06-26 11:14:52,465 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/7f40ceda -> 200
2026-06-26 11:14:52,465 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/2baf1608 params=None
2026-06-26 11:14:52,754 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/2baf1608 -> 204
