2026-03-19 08:59:51,310 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-19 08:59:54,383 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-19 08:59:54,387 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-19 08:59:54,690 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-19 08:59:54,690 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-19 08:59:55,537 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-19 08:59:55,537 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/20e0b851 params=None
2026-03-19 08:59:55,708 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/20e0b851 -> 200
2026-03-19 08:59:55,708 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/20e0b851 params=None
2026-03-19 08:59:56,096 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/20e0b851 -> 200
2026-03-19 08:59:56,096 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f5ee53e4 params=None
2026-03-19 08:59:56,362 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/f5ee53e4 -> 200
