2026-04-30 10:20:01,764 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-30 10:20:04,692 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-30 10:20:04,699 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-30 10:20:05,169 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-30 10:20:05,169 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-30 10:20:11,321 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-30 10:20:11,322 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-04-30 10:20:11,511 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-04-30 10:20:11,511 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-04-30 10:20:11,670 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-04-30 10:20:11,671 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/965ad6b1 params=None
2026-04-30 10:20:12,236 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/965ad6b1 -> 200
2026-04-30 10:20:12,237 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/60eb82a2 params=None
2026-04-30 10:20:12,595 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/60eb82a2 -> 200
