2026-04-16 09:46:03,510 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-16 09:46:07,560 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-16 09:46:07,565 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-16 09:46:08,353 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-16 09:46:08,354 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-16 09:46:13,910 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-16 09:46:13,911 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-04-16 09:46:14,066 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-04-16 09:46:14,067 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-04-16 09:46:14,211 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-04-16 09:46:14,212 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/2062727b params=None
2026-04-16 09:46:14,872 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/2062727b -> 200
2026-04-16 09:46:14,873 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9fb48324 params=None
2026-04-16 09:46:15,225 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9fb48324 -> 200
