2026-04-20 10:08:44,453 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-20 10:08:47,126 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-20 10:08:47,131 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-20 10:08:47,845 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-20 10:08:47,845 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-20 10:08:48,610 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-20 10:08:48,610 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-04-20 10:08:48,772 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-04-20 10:08:48,772 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-04-20 10:08:48,936 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-04-20 10:08:48,937 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/b398ece2 params=None
2026-04-20 10:08:49,742 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/b398ece2 -> 200
2026-04-20 10:08:49,742 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/31ab2c32 params=None
2026-04-20 10:08:50,047 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/31ab2c32 -> 200
