2026-04-10 09:22:20,428 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-10 09:22:23,684 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-10 09:22:23,689 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-10 09:22:24,282 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-10 09:22:24,282 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-10 09:22:24,709 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-10 09:22:24,709 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/acc3b051 params=None
2026-04-10 09:22:24,866 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/acc3b051 -> 200
2026-04-10 09:22:24,866 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/acc3b051 params=None
2026-04-10 09:22:25,164 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/acc3b051 -> 200
2026-04-10 09:22:25,164 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/46a4ea6b params=None
2026-04-10 09:22:25,462 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/46a4ea6b -> 200
