2026-02-27 06:36:14,725 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-02-27 06:36:21,002 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-02-27 06:36:21,004 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-02-27 06:36:22,000 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-02-27 06:36:22,001 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-02-27 06:36:26,217 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-02-27 06:36:26,218 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/456e821b
2026-02-27 06:36:30,819 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/456e821b -> 200
2026-02-27 06:36:30,820 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/456e821b params=None
2026-02-27 06:36:32,142 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/456e821b -> 200
2026-02-27 06:36:32,143 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/93d76d9c params=None
2026-02-27 06:36:40,412 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/93d76d9c -> 200
