2026-07-07 11:19:12,953 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-07 11:19:17,541 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-07 11:19:17,550 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-07 11:19:17,976 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-07 11:19:17,977 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-07 11:19:18,416 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-07 11:19:18,417 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-07-07 11:19:18,600 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-07-07 11:19:18,600 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-07-07 11:19:18,790 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-07-07 11:19:18,791 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/e92dbf58 params=None
2026-07-07 11:19:19,171 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/e92dbf58 -> 200
2026-07-07 11:19:19,171 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9f46802a params=None
2026-07-07 11:19:19,598 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9f46802a -> 200
