2026-05-07 10:34:48,289 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-07 10:34:53,938 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-07 10:34:53,945 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-07 10:34:54,286 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-07 10:34:54,286 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-07 10:34:54,635 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-07 10:34:54,636 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/135b2703
2026-05-07 10:34:54,946 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/135b2703 -> 200
2026-05-07 10:34:54,947 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/135b2703 params=None
2026-05-07 10:34:55,286 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/135b2703 -> 200
2026-05-07 10:34:55,287 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/c3c6043c params=None
2026-05-07 10:34:55,557 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/c3c6043c -> 200
