2026-04-27 10:27:01,618 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-27 10:27:04,362 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-27 10:27:04,369 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-27 10:27:04,958 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-27 10:27:04,959 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-27 10:27:05,416 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-27 10:27:05,417 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-04-27 10:27:05,617 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-04-27 10:27:05,617 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-04-27 10:27:05,822 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-04-27 10:27:05,823 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/34deb244 params=None
2026-04-27 10:27:06,252 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/34deb244 -> 200
2026-04-27 10:27:06,253 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a669bea5 params=None
2026-04-27 10:27:06,576 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a669bea5 -> 200
