2026-03-27 09:07:19,702 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-27 09:07:21,696 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-27 09:07:21,699 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-27 09:07:22,321 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-27 09:07:22,321 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-27 09:07:28,635 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-27 09:07:28,636 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-03-27 09:07:28,802 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-03-27 09:07:28,802 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-03-27 09:07:28,969 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-03-27 09:07:28,970 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c1cb238b params=None
2026-03-27 09:07:30,203 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c1cb238b -> 200
2026-03-27 09:07:30,204 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e146e286 params=None
2026-03-27 09:07:31,052 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e146e286 -> 200
