2026-04-23 09:55:56,248 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-23 09:55:59,019 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-23 09:55:59,037 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-23 09:56:00,048 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-23 09:56:00,048 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-23 09:56:01,198 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-23 09:56:01,199 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/c4512978
2026-04-23 09:56:02,327 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/c4512978 -> 200
2026-04-23 09:56:02,328 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c4512978 params=None
2026-04-23 09:56:02,980 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c4512978 -> 200
2026-04-23 09:56:02,981 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/0759a313 params=None
2026-04-23 09:56:03,393 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/0759a313 -> 200
