2026-04-06 09:22:40,664 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-06 09:22:43,036 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-06 09:22:43,041 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-06 09:22:43,257 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-06 09:22:43,258 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-04-06 09:22:43,479 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-04-06 09:22:43,479 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-04-06 09:22:43,816 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-04-06 09:22:43,816 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6f035449/copy params=None
2026-04-06 09:22:44,070 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/6f035449/copy -> 204
2026-04-06 09:22:44,071 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6f035449 params=None
2026-04-06 09:22:44,310 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/6f035449 -> 204
