2026-05-08 09:50:37,332 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-08 09:50:39,970 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-08 09:50:39,976 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-08 09:50:40,393 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-08 09:50:40,393 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-08 09:50:46,479 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-08 09:50:46,480 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-05-08 09:50:46,649 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-05-08 09:50:46,649 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-05-08 09:50:46,801 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-05-08 09:50:46,802 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/39ffa4b7 params=None
2026-05-08 09:50:47,186 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/39ffa4b7 -> 200
2026-05-08 09:50:47,187 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/82b13a37 params=None
2026-05-08 09:50:47,509 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/82b13a37 -> 200
