2026-04-06 09:23:05,185 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-06 09:23:07,601 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-06 09:23:07,605 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-06 09:23:10,062 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-06 09:23:10,062 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-06 09:23:12,530 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-06 09:23:12,531 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/c479e745
2026-04-06 09:23:15,880 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/c479e745 -> 200
2026-04-06 09:23:15,881 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c479e745 params=None
2026-04-06 09:23:18,650 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/c479e745 -> 200
2026-04-06 09:23:18,650 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/378a5c37 params=None
2026-04-06 09:23:21,031 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/378a5c37 -> 200
