2026-03-04 08:55:20,045 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-04 08:55:27,108 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-04 08:55:27,110 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-04 08:55:30,231 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-04 08:55:30,231 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-04 08:55:30,812 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-04 08:55:30,814 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': '8b2b2636'}
2026-03-04 08:55:31,020 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-03-04 08:55:31,021 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/8b2b2636 params=None
2026-03-04 08:55:31,821 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/8b2b2636 -> 200
2026-03-04 08:55:31,821 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5a506a1f params=None
2026-03-04 08:55:32,319 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5a506a1f -> 200
