2026-06-03 12:50:33,582 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-03 12:50:37,366 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-03 12:50:37,373 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-03 12:50:37,968 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-03 12:50:37,969 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-03 12:50:38,979 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-03 12:50:38,980 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/59df324d
2026-06-03 12:50:39,464 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/59df324d -> 200
2026-06-03 12:50:39,464 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/59df324d params=None
2026-06-03 12:50:39,796 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/59df324d -> 200
2026-06-03 12:50:39,797 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/19bc10bb params=None
2026-06-03 12:50:40,092 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/19bc10bb -> 200
