2026-03-16 09:11:17,045 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-16 09:11:19,454 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-16 09:11:19,457 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-16 09:11:21,218 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-16 09:11:21,218 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-16 09:11:22,109 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-16 09:11:22,110 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': 'f11d8230'}
2026-03-16 09:11:22,573 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-03-16 09:11:22,574 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f11d8230 params=None
2026-03-16 09:11:28,052 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f11d8230 -> 200
2026-03-16 09:11:28,053 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/cb5123fa params=None
2026-03-16 09:11:28,478 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/cb5123fa -> 200
