2026-07-13 11:27:46,584 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-13 11:27:50,953 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-13 11:27:50,964 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-07-13 11:27:51,156 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-07-13 11:27:51,158 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-07-13 11:27:51,375 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-07-13 11:27:51,376 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-07-13 11:27:51,688 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-07-13 11:27:51,688 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/7cbc1ac5/copy params=None
2026-07-13 11:27:51,871 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/7cbc1ac5/copy -> 204
2026-07-13 11:27:51,872 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/7cbc1ac5 params=None
2026-07-13 11:27:52,126 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/7cbc1ac5 -> 204
