2026-03-02 09:00:28,487 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-02 09:00:30,634 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-02 09:00:30,636 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-02 09:00:30,970 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-02 09:00:30,971 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-02 09:00:31,390 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-02 09:00:31,391 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/da0dd88e
2026-03-02 09:00:34,528 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/da0dd88e -> 200
2026-03-02 09:00:34,529 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/da0dd88e params=None
2026-03-02 09:00:35,134 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/da0dd88e -> 200
2026-03-02 09:00:35,135 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e0e6dba5 params=None
2026-03-02 09:00:37,731 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e0e6dba5 -> 200
