2026-05-20 11:19:47,408 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-20 11:19:51,126 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-20 11:19:51,133 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-05-20 11:19:51,348 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-05-20 11:19:51,349 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-05-20 11:19:52,844 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-05-20 11:19:52,846 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/5115928d params=None
2026-05-20 11:19:53,123 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/5115928d -> 200
2026-05-20 11:19:53,123 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/5115928d
2026-05-20 11:19:53,413 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/5115928d -> 200
2026-05-20 11:19:53,414 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/5115928d params=None
2026-05-20 11:19:53,787 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/5115928d -> 200
2026-05-20 11:19:53,787 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/75e4dfb6 params=None
2026-05-20 11:19:54,087 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/75e4dfb6 -> 204
