2026-03-06 08:55:13,739 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-06 08:55:15,329 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-06 08:55:15,332 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-06 08:55:18,466 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-06 08:55:18,467 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-06 08:55:27,450 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-06 08:55:27,451 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/7deb7512
2026-03-06 08:55:35,088 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/7deb7512 -> 200
2026-03-06 08:55:35,088 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/7deb7512 params=None
2026-03-06 08:55:40,876 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/7deb7512 -> 200
2026-03-06 08:55:40,877 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/31ffdf8d params=None
2026-03-06 08:55:45,966 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/31ffdf8d -> 200
