2026-07-24 10:28:57,022 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-24 10:29:02,892 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-24 10:29:02,903 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-24 10:29:08,904 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-24 10:29:08,905 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-24 10:29:09,504 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-24 10:29:09,505 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-07-24 10:29:09,709 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-07-24 10:29:09,710 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-07-24 10:29:09,905 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-07-24 10:29:09,906 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/14c22bf7 params=None
2026-07-24 10:29:10,363 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/14c22bf7 -> 200
2026-07-24 10:29:10,364 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/19a1f72e params=None
2026-07-24 10:29:10,779 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/19a1f72e -> 200
