2026-04-14 09:46:59,713 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-14 09:47:06,164 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-14 09:47:06,169 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-14 09:47:06,806 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-14 09:47:06,806 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-14 09:47:07,379 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-14 09:47:07,379 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/bc631fba params=None
2026-04-14 09:47:07,567 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/bc631fba -> 200
2026-04-14 09:47:07,567 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/bc631fba params=None
2026-04-14 09:47:07,905 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/bc631fba -> 200
2026-04-14 09:47:07,905 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/99d1a74d params=None
2026-04-14 09:47:08,199 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/99d1a74d -> 200
