2026-04-28 10:24:25,533 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-28 10:24:28,018 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-28 10:24:28,023 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-28 10:24:28,679 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-28 10:24:28,679 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-28 10:24:29,208 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-28 10:24:29,208 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/fdc56ea1 params=None
2026-04-28 10:24:29,450 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/fdc56ea1 -> 200
2026-04-28 10:24:29,450 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/fdc56ea1 params=None
2026-04-28 10:24:29,917 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/fdc56ea1 -> 200
2026-04-28 10:24:29,917 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9da237b4 params=None
2026-04-28 10:24:30,242 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9da237b4 -> 200
