2026-05-13 10:42:02,398 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-13 10:42:05,752 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-13 10:42:05,759 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-13 10:42:06,155 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-13 10:42:06,156 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-13 10:42:06,537 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-13 10:42:06,538 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/0b9fa86b
2026-05-13 10:42:06,900 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/0b9fa86b -> 200
2026-05-13 10:42:06,901 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/0b9fa86b params=None
2026-05-13 10:42:07,284 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/0b9fa86b -> 200
2026-05-13 10:42:07,285 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/62936f04 params=None
2026-05-13 10:42:07,608 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/62936f04 -> 200
