2026-04-09 09:23:23,383 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-09 09:23:26,519 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-09 09:23:26,523 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-09 09:23:26,974 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-09 09:23:26,974 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-09 09:23:30,938 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-09 09:23:30,939 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-04-09 09:23:31,111 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-04-09 09:23:31,111 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-04-09 09:23:31,284 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-04-09 09:23:31,285 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ae4da54a params=None
2026-04-09 09:23:31,659 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ae4da54a -> 200
2026-04-09 09:23:31,660 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1ad2abdd params=None
2026-04-09 09:23:31,970 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1ad2abdd -> 200
