2026-06-08 12:40:53,324 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-08 12:41:17,935 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-08 12:41:17,946 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-08 12:41:43,923 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-08 12:41:43,924 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-08 12:41:44,347 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-08 12:41:44,348 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': 'f1d66f7f'}
2026-06-08 12:41:44,563 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-06-08 12:41:44,564 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f1d66f7f params=None
2026-06-08 12:41:44,995 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f1d66f7f -> 200
2026-06-08 12:41:44,996 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/7a432c56 params=None
2026-06-08 12:41:45,417 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/7a432c56 -> 200
