2026-06-25 10:53:13,606 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-25 10:53:18,700 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-25 10:53:18,709 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-06-25 10:53:19,186 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-06-25 10:53:19,187 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-06-25 10:53:25,468 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-06-25 10:53:25,469 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-06-25 10:53:25,689 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-06-25 10:53:25,689 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-06-25 10:53:25,875 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-06-25 10:53:25,875 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/651e09f8 params=None
2026-06-25 10:53:26,291 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/651e09f8 -> 200
2026-06-25 10:53:26,291 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/ea3aa02a params=None
2026-06-25 10:53:26,725 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/ea3aa02a -> 200
