2026-05-29 11:39:13,751 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-29 11:39:43,258 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-29 11:39:43,266 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-29 11:39:43,661 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-29 11:39:43,661 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-29 11:39:44,180 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-29 11:39:44,180 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/ffcafaa8 params=None
2026-05-29 11:39:44,426 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/ffcafaa8 -> 200
2026-05-29 11:39:44,426 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ffcafaa8 params=None
2026-05-29 11:39:44,989 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/ffcafaa8 -> 200
2026-05-29 11:39:44,989 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a1c30e99 params=None
2026-05-29 11:39:45,459 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a1c30e99 -> 200
