2026-04-08 09:18:08,227 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-08 09:18:10,325 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-08 09:18:10,330 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-08 09:18:10,497 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-08 09:18:10,497 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-04-08 09:18:10,949 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-04-08 09:18:10,951 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/e75056cd params=None
2026-04-08 09:18:11,231 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/e75056cd -> 200
2026-04-08 09:18:11,232 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/e75056cd
2026-04-08 09:18:12,357 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/e75056cd -> 200
2026-04-08 09:18:12,358 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/e75056cd params=None
2026-04-08 09:18:12,736 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/e75056cd -> 200
2026-04-08 09:18:12,736 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/e000d1d8 params=None
2026-04-08 09:18:12,932 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/e000d1d8 -> 204
