2026-08-05 10:45:26,379 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-08-05 10:45:31,299 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-08-05 10:45:31,303 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-08-05 10:45:32,164 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-08-05 10:45:32,165 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-08-05 10:45:32,879 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-08-05 10:45:32,880 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-08-05 10:45:33,100 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-08-05 10:45:33,100 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-08-05 10:45:33,313 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-08-05 10:45:33,314 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/08fbd7a3 params=None
2026-08-05 10:45:33,773 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/08fbd7a3 -> 200
2026-08-05 10:45:33,773 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/d59095e0 params=None
2026-08-05 10:45:34,478 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/d59095e0 -> 200
