2026-07-07 11:19:33,044 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-07 11:19:37,274 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-07 11:19:37,284 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-07 11:19:37,949 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-07 11:19:37,949 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-07 11:19:38,368 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-07 11:19:38,369 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/b74bf217
2026-07-07 11:19:44,406 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/b74bf217 -> 200
2026-07-07 11:19:44,407 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/b74bf217 params=None
2026-07-07 11:19:44,715 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/b74bf217 -> 200
2026-07-07 11:19:44,715 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/73a118f4 params=None
2026-07-07 11:19:45,088 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/73a118f4 -> 200
