2026-03-30 09:45:07,465 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-30 09:45:18,810 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-30 09:45:18,814 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-30 09:45:19,345 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-30 09:45:19,345 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-30 09:45:20,228 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-30 09:45:20,229 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': 'a27208e9'}
2026-03-30 09:45:20,388 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-03-30 09:45:20,388 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/a27208e9 params=None
2026-03-30 09:45:21,440 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/a27208e9 -> 200
2026-03-30 09:45:21,441 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/ce8878eb params=None
2026-03-30 09:45:22,046 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/ce8878eb -> 200
