2026-04-06 09:22:02,346 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-06 09:22:04,740 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-06 09:22:04,755 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-06 09:22:10,817 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-06 09:22:10,818 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-06 09:22:11,389 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-06 09:22:11,390 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': '4d481eaf'}
2026-04-06 09:22:11,921 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-04-06 09:22:11,922 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/4d481eaf params=None
2026-04-06 09:22:12,399 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/4d481eaf -> 200
2026-04-06 09:22:12,400 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5b9a16d4 params=None
2026-04-06 09:22:12,781 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/5b9a16d4 -> 200
