2026-03-25 09:06:57,853 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-25 09:07:01,114 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-25 09:07:01,117 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-03-25 09:07:01,283 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-03-25 09:07:01,284 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-03-25 09:07:01,708 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-03-25 09:07:01,709 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/cc9068d7 params=None
2026-03-25 09:07:02,022 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/cc9068d7 -> 200
2026-03-25 09:07:02,022 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/cc9068d7
2026-03-25 09:07:02,361 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/cc9068d7 -> 200
2026-03-25 09:07:02,362 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/cc9068d7 params=None
2026-03-25 09:07:02,924 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/cc9068d7 -> 200
2026-03-25 09:07:02,925 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/179649e3 params=None
2026-03-25 09:07:03,144 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/179649e3 -> 204
