2026-05-15 10:35:53,628 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-15 10:35:56,439 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-15 10:35:56,446 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-15 10:35:59,252 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-15 10:35:59,252 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-15 10:35:59,672 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-15 10:35:59,673 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/9ad45280 params=None
2026-05-15 10:35:59,841 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/9ad45280 -> 200
2026-05-15 10:35:59,841 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/9ad45280 params=None
2026-05-15 10:36:00,150 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/9ad45280 -> 200
2026-05-15 10:36:00,150 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/35e7faf0 params=None
2026-05-15 10:36:00,452 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/35e7faf0 -> 200
