2026-04-06 09:22:54,562 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-06 09:22:57,012 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-06 09:22:57,016 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-06 09:22:59,122 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-06 09:22:59,122 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-04-06 09:22:59,760 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-04-06 09:22:59,762 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/040b368d params=None
2026-04-06 09:23:00,125 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/040b368d -> 200
2026-04-06 09:23:00,126 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/040b368d
2026-04-06 09:23:00,481 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/040b368d -> 200
2026-04-06 09:23:00,482 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/040b368d params=None
2026-04-06 09:23:00,958 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/040b368d -> 200
2026-04-06 09:23:00,959 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/09d2b626 params=None
2026-04-06 09:23:01,192 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/09d2b626 -> 204
