2026-04-21 09:49:23,654 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-21 09:49:38,632 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-21 09:49:38,637 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-04-21 09:49:38,992 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-04-21 09:49:38,992 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-04-21 09:49:39,532 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-04-21 09:49:39,533 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': '2763afbb'}
2026-04-21 09:49:40,028 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-04-21 09:49:40,029 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/2763afbb params=None
2026-04-21 09:49:40,655 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/2763afbb -> 200
2026-04-21 09:49:40,655 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a3704b45 params=None
2026-04-21 09:49:41,365 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/a3704b45 -> 200
