2026-03-20 08:58:00,693 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-20 08:58:03,575 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-20 08:58:03,579 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-20 08:58:04,061 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-20 08:58:04,061 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-20 08:58:04,647 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-20 08:58:04,648 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': '48241bbd'}
2026-03-20 08:58:05,133 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-03-20 08:58:05,134 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/48241bbd params=None
2026-03-20 08:58:05,677 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/48241bbd -> 200
2026-03-20 08:58:05,678 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e9851b9f params=None
2026-03-20 08:58:06,051 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/e9851b9f -> 200
