2026-05-15 10:36:41,784 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-15 10:36:49,156 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-15 10:36:49,163 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-05-15 10:36:49,889 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-05-15 10:36:49,890 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-05-15 10:36:50,403 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-05-15 10:36:50,404 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/f13a55af
2026-05-15 10:36:50,809 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/f13a55af -> 200
2026-05-15 10:36:50,810 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f13a55af params=None
2026-05-15 10:36:51,249 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f13a55af -> 200
2026-05-15 10:36:51,249 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/dc62ce1f params=None
2026-05-15 10:36:51,647 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/dc62ce1f -> 200
