2026-05-18 11:54:32,690 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-18 11:54:38,037 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-18 11:54:38,044 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-05-18 11:54:38,288 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-05-18 11:54:38,289 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-05-18 11:54:39,761 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-05-18 11:54:39,763 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/1a04e390 params=None
2026-05-18 11:54:39,987 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/1a04e390 -> 200
2026-05-18 11:54:39,987 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/1a04e390
2026-05-18 11:54:40,379 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/1a04e390 -> 200
2026-05-18 11:54:40,380 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/1a04e390 params=None
2026-05-18 11:54:40,723 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/1a04e390 -> 200
2026-05-18 11:54:40,724 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/67036a0a params=None
2026-05-18 11:54:40,950 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/67036a0a -> 204
