2026-04-20 10:08:55,098 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-04-20 10:09:05,686 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-04-20 10:09:05,691 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-04-20 10:09:05,979 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-04-20 10:09:05,979 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-04-20 10:09:06,450 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-04-20 10:09:06,452 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/26fd9923 params=None
2026-04-20 10:09:06,662 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/26fd9923 -> 200
2026-04-20 10:09:06,662 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/26fd9923
2026-04-20 10:09:06,897 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/26fd9923 -> 200
2026-04-20 10:09:06,898 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/26fd9923 params=None
2026-04-20 10:09:07,230 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/26fd9923 -> 200
2026-04-20 10:09:07,231 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/37190706 params=None
2026-04-20 10:09:07,450 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/37190706 -> 204
