2026-03-26 09:12:15,423 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-26 09:12:17,483 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-26 09:12:17,487 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-26 09:12:19,752 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-26 09:12:19,752 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-26 09:12:21,761 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-26 09:12:21,761 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/932379a1 params=None
2026-03-26 09:12:22,061 | CaseClient | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/tests/932379a1 -> 200
2026-03-26 09:12:22,062 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/932379a1 params=None
2026-03-26 09:12:23,482 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/932379a1 -> 200
2026-03-26 09:12:23,482 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1787e45a params=None
2026-03-26 09:12:25,130 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1787e45a -> 200
