2026-07-10 11:18:20,900 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-07-10 11:18:26,485 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-07-10 11:18:26,495 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-07-10 11:18:26,907 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-07-10 11:18:26,908 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-07-10 11:18:27,290 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-07-10 11:18:27,291 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/932c4c5a
2026-07-10 11:18:27,543 | CaseClient | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/tests/932c4c5a -> 200
2026-07-10 11:18:27,544 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/932c4c5a params=None
2026-07-10 11:18:27,814 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/932c4c5a -> 200
2026-07-10 11:18:27,814 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1124277b params=None
2026-07-10 11:18:28,147 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/1124277b -> 200
