2026-06-01 13:46:43,434 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-01 13:46:47,034 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-01 13:46:47,042 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-06-01 13:46:47,280 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-06-01 13:46:47,281 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-06-01 13:46:48,714 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-06-01 13:46:48,716 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/dd59bf14 params=None
2026-06-01 13:46:48,950 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/dd59bf14 -> 200
2026-06-01 13:46:48,951 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/dd59bf14
2026-06-01 13:46:49,184 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/dd59bf14 -> 200
2026-06-01 13:46:49,185 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/dd59bf14 params=None
2026-06-01 13:46:49,529 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/dd59bf14 -> 200
2026-06-01 13:46:49,529 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/5d447644 params=None
2026-06-01 13:46:49,734 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/5d447644 -> 204
