2026-02-27 06:35:40,374 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-02-27 06:35:41,669 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-02-27 06:35:41,671 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-02-27 06:35:57,796 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-02-27 06:35:57,797 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-02-27 06:36:25,530 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-02-27 06:36:25,531 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments params={'test_id': 'f76a318f'}
2026-02-27 06:36:25,697 | CommentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/comments -> 200
2026-02-27 06:36:25,698 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f76a318f params=None
2026-02-27 06:36:27,143 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/f76a318f -> 200
2026-02-27 06:36:27,144 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/6dc385ce params=None
2026-02-27 06:36:27,705 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/6dc385ce -> 200
