2026-03-05 08:59:10,734 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-05 08:59:12,136 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-05 08:59:12,138 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-05 08:59:14,534 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-05 08:59:14,534 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-05 08:59:15,257 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-05 08:59:15,258 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments params={'test_id': '7e32fe55'}
2026-03-05 08:59:15,618 | AttachmentApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/attachments -> 200
2026-03-05 08:59:15,618 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/7e32fe55 params=None
2026-03-05 08:59:15,967 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/7e32fe55 -> 200
2026-03-05 08:59:15,968 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9f1b4412 params=None
2026-03-05 08:59:16,474 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9f1b4412 -> 200
