2026-02-27 06:36:41,622 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-02-27 06:36:42,756 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-02-27 06:36:42,759 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-02-27 06:36:45,626 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-02-27 06:36:45,627 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-02-27 06:36:46,144 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-02-27 06:36:46,145 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-02-27 06:36:46,304 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-02-27 06:36:46,304 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-02-27 06:36:46,465 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-02-27 06:36:46,466 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/00157e94 params=None
2026-02-27 06:36:46,984 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/00157e94 -> 200
2026-02-27 06:36:46,984 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9efd8774 params=None
2026-02-27 06:36:47,398 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/9efd8774 -> 200
