2026-06-11 12:18:30,760 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-06-11 12:18:35,183 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-06-11 12:18:35,191 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-06-11 12:18:35,426 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-06-11 12:18:35,427 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs params=None
2026-06-11 12:18:37,112 | RunApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/runs -> 200
2026-06-11 12:18:37,114 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/ffa85b0d params=None
2026-06-11 12:18:37,344 | RunApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/runs/ffa85b0d -> 200
2026-06-11 12:18:37,345 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/ffa85b0d
2026-06-11 12:18:37,673 | RunApi | DEBUG | PUT https://app.testomat.io/api/a-farewell-to-arms/runs/ffa85b0d -> 200
2026-06-11 12:18:37,674 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/ffa85b0d params=None
2026-06-11 12:18:39,650 | RunApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/runs/ffa85b0d -> 200
2026-06-11 12:18:39,650 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/70c08d66 params=None
2026-06-11 12:18:39,906 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/70c08d66 -> 204
