2026-03-26 09:12:57,728 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-03-26 09:13:03,273 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-03-26 09:13:03,276 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites params=None
2026-03-26 09:13:04,891 | SuiteApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/suites -> 200
2026-03-26 09:13:04,892 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests params=None
2026-03-26 09:13:06,562 | CaseClient | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/tests -> 200
2026-03-26 09:13:06,563 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count params=None
2026-03-26 09:13:06,709 | PlanApi | DEBUG | GET https://app.testomat.io/api/a-farewell-to-arms/plans/count -> 200
2026-03-26 09:13:06,709 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate params=None
2026-03-26 09:13:06,835 | PlanApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/plans/validate -> 200
2026-03-26 09:13:06,836 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/cabebfee params=None
2026-03-26 09:13:15,006 | CaseClient | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/tests/cabebfee -> 200
2026-03-26 09:13:15,007 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/229d6b11 params=None
2026-03-26 09:13:16,051 | SuiteApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/suites/229d6b11 -> 200
