2026-05-11 11:34:33,218 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects params=None
2026-05-11 11:34:36,169 | ProjectApi | DEBUG | GET https://app.testomat.io/api/projects -> 200
2026-05-11 11:34:36,176 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups params=None
2026-05-11 11:34:36,370 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups -> 200
2026-05-11 11:34:36,371 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive params=None
2026-05-11 11:34:36,566 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/archive -> 200
2026-05-11 11:34:36,567 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive params=None
2026-05-11 11:34:36,825 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/unarchive -> 200
2026-05-11 11:34:36,826 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/4936ac0e/copy params=None
2026-05-11 11:34:36,996 | RunGroupApi | DEBUG | POST https://app.testomat.io/api/a-farewell-to-arms/rungroups/4936ac0e/copy -> 204
2026-05-11 11:34:36,997 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/4936ac0e params=None
2026-05-11 11:34:37,217 | RunGroupApi | DEBUG | DELETE https://app.testomat.io/api/a-farewell-to-arms/rungroups/4936ac0e -> 204
